command,mean,stddev,median,user,system,min,max,parameter_num_count
counto=$((2**1)) ./name-generator,0.0038888865599999997,0.0007955064425433647,0.0038888865599999997,0.00234002,0.0008942499999999999,0.00332637856,0.0044513945599999995,1
counto=$((2**1)) ./name-generator_cpp,0.00413227906,0.00033929033970995945,0.00413227906,0.0020187599999999997,0.0024337499999999997,0.00389236456,0.004372193559999999,1
counto=$((2**1)) ./name-generator_O2,0.0017870890600000001,0.00046443834048504225,0.0017870890600000001,0.00195102,0,0.00145868156,0.00211549656,1
counto=$((2**1)) ./name-generator_cpp_O2,0.00256935056,0.00007397468302061192,0.00256935056,0.00132826,0.00164775,0.00251704256,0.00262165856,1
counto=$((2**1)) ./name-generator_O1,0.0016232460600000003,0.0008723130882226292,0.0016232460600000003,0.0006077599999999999,0.00155475,0.00100642756,0.0022400645600000003,1
counto=$((2**1)) ./name-generator_cpp_O1,0.0038677275599999996,0.00012183591261200454,0.0038677275599999996,0.00286202,0.0010462499999999999,0.0037815765599999995,0.00395387856,1
counto=$((2**1)) ./name-generator_go,0.0029768825599999996,0.0008349460303708258,0.0029768825599999996,0.0019597599999999996,0.00168525,0.0023864865599999997,0.0035672785599999996,1
counto=$((2**1)) ./name-generator_pascal,0.005945842559999999,0.0005157665146245928,0.005945842559999999,0.00365702,0.0023057499999999996,0.0055811405599999996,0.00631054456,1
counto=$((2**1)) ./name-generator.js,0.027663762560000003,0.0015069421314443348,0.027663762560000003,0.01841702,0.0110115,0.026598193560000004,0.02872933156,1
counto=$((2**1)) ./name-generator.ts,0.057801948560000004,0.002221702636430446,0.057801948560000004,0.04784452,0.026196499999999998,0.056230967560000004,0.05937292956,1
counto=$((2**1)) java -jar ./name-generator.jar,0.07441594156,0.0010149853163558575,0.07441594156,0.13453902,0.019896999999999998,0.07369823856,0.07513364456,1
counto=$((2**1)) ./name-generator.pl,0.017200558060000003,0.003291335286156748,0.017200558060000003,0.01062202,0.006327999999999999,0.01487323256,0.019527883560000004,1
counto=$((2**1)) ./name-generator_d,0.00583457506,0.0007204887770205026,0.00583457506,0.00410152,0.0017077499999999998,0.00532511256,0.00634403756,1
counto=$((2**1)) ./name-generator.r,0.19754245356,0.007250629093666418,0.19754245356,0.15407252,0.039868,0.19241548456000002,0.20266942256,1
counto=$((2**1)) ./name-generator.m,0.48865325406000004,0.009659814729167444,0.48865325406000004,0.36241751999999994,0.10145199999999999,0.48182273356000005,0.49548377456000003,1
counto=$((2**1)) ./name-generator.php,0.01609107056,0.003641605579964971,0.01609107056,0.005467519999999999,0.010353500000000002,0.01351606656,0.018666074560000002,1
counto=$((2**1)) ./name-generator.ml,0.08556375806000001,0.011435645527866481,0.08556375806000001,0.07860902,0.0049292500000000005,0.07747753556,0.09364998056000001,1
counto=$((2**1)) ./name-generator.rb,0.06613030506,0.0012526262278431302,0.06613030506,0.05700602,0.0086655,0.06524456456000001,0.06701604556000001,1
counto=$((2**1)) ./name-generator.lua,0.018994822560000003,0.0033925088315156964,0.018994822560000003,0.01272852,0.006144500000000001,0.016595956560000003,0.021393688560000002,1
counto=$((2**1)) java NameGenerator,0.06261955106,0.02737605410531775,0.06261955106,0.09724402,0.0180105,0.04326175756,0.08197734456000001,1
counto=$((2**1)) cabal run,0.08637150956,0.0020176019208952042,0.08637150956,0.04585302,0.026534000000000002,0.08494484956000001,0.08779816956000001,1
counto=$((2**1)) rust/target/debug/name-generator,0.006302516059999999,0.0023483207122036165,0.006302516059999999,0.00197702,0.0041305,0.00464200256,0.00796302956,1
counto=$((2**1)) ./name-generator.exs,0.43765700456,0.006887959682450076,0.43765700456,1.31757402,0.20062149999999998,0.43278648156000005,0.44252752756,1
counto=$((2**1)) ./name-generator.py,0.07195749256,0.0025257048122252997,0.07195749256,0.05689502,0.0158525,0.07017154956,0.07374343556000001,1
counto=$((2**2)) ./name-generator,0.0027570255599999997,0.00027204094928521356,0.0027570255599999997,0.0015697600000000001,0.00166075,0.0025646635599999995,0.00294938756,2
