command,mean,stddev,median,user,system,min,max,parameter_num_count
counto=$((2**1)) ./name-generator_cpp,0.0027707914400000003,0.000020145472196004697,0.0027707914400000003,0.0028423399999999996,0,0.0027565464400000003,0.0027850364400000003,1
counto=$((2**1)) ./name-generator_cpp_O2,0.0034307624400000004,0.00042879662317933426,0.0034307624400000004,0.0036428399999999996,0,0.0031275574400000004,0.0037339674400000003,1
counto=$((2**1)) ./name-generator_cpp_O1,0.0033437969399999997,0.00009368245611906191,0.0033437969399999997,0.0035513399999999996,0,0.00327755344,0.0034100404399999996,1
counto=$((2**1)) ./name-generator_go,0.00369786044,0.0002645413747639486,0.00369786044,0.0007679199999999998,0.0034618599999999998,0.00351080144,0.0038849194399999997,1
counto=$((2**1)) ./name-generator_pascal,0.006072841440000001,0.000793154605389139,0.006072841440000001,0.00340392,0.0031206800000000002,0.00551199644,0.006633686440000001,1
counto=$((2**1)) ./name-generator.pl,0.014328169440000002,0.0006427982478647554,0.014328169440000002,0.007486339999999999,0.00657636,0.013873642440000002,0.014782696440000001,1
counto=$((2**1)) ./name-generator_d,0.00532678544,0.0020214004985237336,0.00532678544,0.00421884,0.0011651799999999998,0.00389743944,0.006756131439999999,1
counto=$((2**1)) java NameGenerator,0.041882741939999996,0.0013164935265334592,0.041882741939999996,0.05848734,0.01853086,0.04095184044,0.04281364344,1
counto=$((2**1)) ./name-generator.lua,0.016763956939999998,0.00035193482317113876,0.016763956939999998,0.01312234,0.0036843600000000002,0.01651510144,0.01701281244,1
counto=$((2**2)) ./name-generator_cpp,0.00282365494,0.0008767890741475397,0.00282365494,0.0018414199999999999,0.00143068,0.00220367144,0.0034436384399999997,2
counto=$((2**2)) ./name-generator_cpp_O2,0.0026542539400000002,0.0010466955199581684,0.0026542539400000002,0.00184592,0.0013776799999999998,0.00191412844,0.0033943794400000003,2
counto=$((2**2)) ./name-generator_cpp_O1,0.00364513044,0.00004024003270376377,0.00364513044,0,0.004396860000000001,0.00361667644,0.0036735844399999997,2
counto=$((2**2)) ./name-generator_go,0.00340732244,0.00118537683741838,0.00340732244,0.00244034,0.00124468,0.00256913444,0.00424551044,2
counto=$((2**2)) ./name-generator_pascal,0.00573146494,0.0005573903552991383,0.00573146494,0.0056288399999999995,0,0.00533733044,0.00612559944,2
counto=$((2**2)) ./name-generator.pl,0.01588361944,0.001063900135051215,0.01588361944,0.00914034,0.0063748599999999996,0.015131328440000003,0.01663591044,2
counto=$((2**2)) ./name-generator_d,0.0039125329399999995,0.00033725811482083,0.0039125329399999995,0.0021569199999999997,0.0022321800000000003,0.00367405544,0.00415101044,2
counto=$((2**2)) java NameGenerator,0.047975094940000004,0.0043199366506911285,0.047975094940000004,0.07729233999999999,0.01196086,0.04492043844,0.05102975144,2
counto=$((2**2)) ./name-generator.lua,0.02234991344,0.000734145130285559,0.02234991344,0.017945339999999997,0.00408568,0.02183079444,0.02286903244,2
counto=$((2**3)) ./name-generator_cpp,0.0030800589400000002,0.00042669580893242896,0.0030800589400000002,0,0.00350236,0.0027783394400000003,0.00338177844,3
counto=$((2**3)) ./name-generator_cpp_O2,0.0028052984400000003,0.0010100850663622345,0.0028052984400000003,0.00186792,0.0014381799999999998,0.0020910604400000005,0.00351953644,3
counto=$((2**3)) ./name-generator_cpp_O1,0.00444536144,0.0005204574610109838,0.00444536144,0.00247592,0.00241968,0.00407734244,0.00481338044,3
counto=$((2**3)) ./name-generator_go,0.00403868394,0.00038677963113444805,0.00403868394,0.0008484199999999999,0.00373886,0.0037651894400000004,0.00431217844,3
counto=$((2**3)) ./name-generator_pascal,0.00669022494,0.0017498326036751344,0.00669022494,0.00445734,0.00206968,0.00545290644,0.00792754344,3
counto=$((2**3)) ./name-generator.pl,0.01831179794,0.004737368653683234,0.01831179794,0.015104839999999998,0.00267718,0.01496197244,0.02166162344,3
counto=$((2**3)) ./name-generator_d,0.00510145544,0.001426846732125774,0.00510145544,0.0035488399999999993,0.0016651799999999998,0.00409252244,0.00611038844,3
counto=$((2**3)) java NameGenerator,0.04988639544,0.005449305681292068,0.04988639544,0.07511683999999999,0.01922036,0.04603315444,0.05373963644,3
counto=$((2**3)) ./name-generator.lua,0.01866368094,0.0024930089017700077,0.01866368094,0.01309634,0.00547936,0.01690085744,0.02042650444,3
counto=$((2**4)) ./name-generator_cpp,0.00303091594,0.0007108678821556783,0.00303091594,0.00210284,0.0010216799999999999,0.0025282564400000004,0.0035335754399999997,4
counto=$((2**4)) ./name-generator_cpp_O2,0.0023019014400000003,0.0002695208207170646,0.0023019014400000003,0.0024873399999999993,0,0.00211132144,0.0024924814400000004,4
counto=$((2**4)) ./name-generator_cpp_O1,0.00276126144,0.000795298553149696,0.00276126144,0.0012139199999999998,0.00204468,0.00219890044,0.00332362244,4
counto=$((2**4)) ./name-generator_go,0.00329458344,0.00006908291830836349,0.00329458344,0.0018409199999999998,0.00221368,0.00324573444,0.0033434324400000003,4
counto=$((2**4)) ./name-generator_pascal,0.006254145440000001,0.00010596136537436637,0.006254145440000001,0.006250839999999999,0,0.0061792194400000005,0.00632907144,4
counto=$((2**4)) ./name-generator.pl,0.02258429494,0.0022552852587893403,0.02258429494,0.01708634,0.0052261799999999995,0.02098956744,0.02417902244,4
counto=$((2**4)) ./name-generator_d,0.00581517244,0.0005876043209524589,0.00581517244,0.0031093399999999995,0.00250836,0.00539967344,0.00623067144,4
counto=$((2**4)) java NameGenerator,0.052246906440000004,0.003127926444558441,0.052246906440000004,0.07969683999999999,0.014289860000000001,0.05003512844,0.05445868444,4
counto=$((2**4)) ./name-generator.lua,0.02038844294,0.0018765687662807614,0.02038844294,0.017486839999999997,0.00291136,0.01906150844,0.02171537744,4
counto=$((2**5)) ./name-generator_cpp,0.00382766694,0.00019605171904500112,0.00382766694,0.0007504199999999999,0.00340436,0.00368903744,0.00396629644,5
counto=$((2**5)) ./name-generator_cpp_O2,0.00215347794,0.00026071946261163587,0.00215347794,0,0.0029578599999999997,0.00196912144,0.0023378344400000004,5
counto=$((2**5)) ./name-generator_cpp_O1,0.00268979744,0.000010381741761381058,0.00268979744,0.00144642,0.00175268,0.0026824564399999997,0.00269713844,5
counto=$((2**5)) ./name-generator_go,0.00461046444,0.0006796088126797651,0.00461046444,0.00230592,0.00336018,0.00412990844,0.00509102044,5
counto=$((2**5)) ./name-generator_pascal,0.00613794294,0.00005930151020421029,0.00613794294,0.00313292,0.00347318,0.00609601044,0.0061798754400000004,5
counto=$((2**5)) ./name-generator.pl,0.01619720794,0.00002443266061033854,0.01619720794,0.01054834,0.005213860000000001,0.01617993144,0.01621448444,5
counto=$((2**5)) ./name-generator_d,0.0055101219399999995,0.0003504696979205192,0.0055101219399999995,0.0021698399999999997,0.00288886,0.00526230244,0.00575794144,5
counto=$((2**5)) java NameGenerator,0.049926401440000004,0.0024238121392698743,0.049926401440000004,0.06786133999999999,0.01954686,0.04821250744,0.051640295440000004,5
counto=$((2**5)) ./name-generator.lua,0.02169637144,0.005658467867167048,0.02169637144,0.01628184,0.0035638600000000003,0.01769523044,0.02569751244,5
counto=$((2**6)) ./name-generator_cpp,0.00338671244,0.00023504087985284558,0.00338671244,0.0022518399999999997,0.0010036799999999999,0.0032205134400000003,0.0035529114399999997,6
counto=$((2**6)) ./name-generator_cpp_O2,0.0038286214400000003,0.000940951236365626,0.0038286214400000003,0.00146292,0.00260318,0.0031632684400000003,0.00449397444,6
counto=$((2**6)) ./name-generator_cpp_O1,0.0034362174400000005,0.0012812011199776559,0.0034362174400000005,0.00074942,0.00252136,0.0025302714400000006,0.00434216344,6
counto=$((2**6)) ./name-generator_go,0.0040741864400000005,0.0004946466492841125,0.0040741864400000005,0.0009234199999999999,0.00356636,0.00372441844,0.00442395444,6
counto=$((2**6)) ./name-generator_pascal,0.009462764940000002,0.0006680370102056467,0.009462764940000002,0.005989339999999999,0.0021961800000000003,0.008990391440000002,0.009935138440000001,6
counto=$((2**6)) ./name-generator.pl,0.02231003794,0.0029251091278310474,0.02231003794,0.01608084,0.00599786,0.02024167344,0.024378402440000002,6
counto=$((2**6)) ./name-generator_d,0.00562288344,0.0004612853513477312,0.00562288344,0.0030719199999999997,0.00299918,0.0052967054400000005,0.00594906144,6
counto=$((2**6)) java NameGenerator,0.04524450944,0.0025658331220576275,0.04524450944,0.07472383999999999,0.01765086,0.04343019144,0.04705882744,6
counto=$((2**6)) ./name-generator.lua,0.02107709644,0.003517870378538698,0.02107709644,0.018386339999999998,0.00264136,0.01858958644,0.02356460644,6
counto=$((2**7)) ./name-generator_cpp,0.00313474494,0.0005059808638797515,0.00313474494,0.0007239199999999999,0.0026673599999999997,0.00277696244,0.0034925274399999996,7
counto=$((2**7)) ./name-generator_cpp_O2,0.0019251704400000001,0.000016168703658611496,0.0019251704400000001,0,0.00276636,0.0019137374400000002,0.00193660344,7
counto=$((2**7)) ./name-generator_cpp_O1,0.00352797294,0.0010845526028093334,0.00352797294,0.00143192,0.00239818,0.00276107844,0.00429486744,7
counto=$((2**7)) ./name-generator_go,0.0025673799400000004,0.000091119901144042,0.0025673799400000004,0.0014674199999999999,0.00171318,0.0025029484400000005,0.0026318114400000004,7
counto=$((2**7)) ./name-generator_pascal,0.0060093614399999995,0.00031684606336831783,0.0060093614399999995,0.00422734,0.00176768,0.00578531744,0.00623340544,7
counto=$((2**7)) ./name-generator.pl,0.015082256440000002,0.00035650202587082043,0.015082256440000002,0.01174734,0.00292768,0.014830171440000003,0.015334341440000001,7
counto=$((2**7)) ./name-generator_d,0.00670567244,0.00024745060386266937,0.00670567244,0.00486584,0.0018771799999999998,0.0065306984400000006,0.00688064644,7
counto=$((2**7)) java NameGenerator,0.052469988940000004,0.004535140356904571,0.052469988940000004,0.07914884,0.02893186,0.04926316044,0.055676817440000005,7
counto=$((2**7)) ./name-generator.lua,0.02630439494,0.0006452328165123798,0.02630439494,0.01789184,0.007115359999999999,0.02584814644,0.02676064344,7
counto=$((2**8)) ./name-generator_cpp,0.00311026444,0.000047343627427564206,0.00311026444,0,0.00383036,0.00307678744,0.0031437414400000002,8
counto=$((2**8)) ./name-generator_cpp_O2,0.00440022644,0.0002359389054649533,0.00440022644,0.0018078399999999998,0.00243286,0.00423339244,0.00456706044,8
counto=$((2**8)) ./name-generator_cpp_O1,0.00284518444,0.0006434403008220728,0.00284518444,0,0.00339136,0.0023902034400000004,0.00330016544,8
counto=$((2**8)) ./name-generator_go,0.00461491694,0.00011091464837657816,0.00461491694,0.0021243399999999997,0.0026773599999999997,0.00453648844,0.00469334544,8
counto=$((2**8)) ./name-generator_pascal,0.00589517044,0.00015681789929086548,0.00589517044,0,0.00631986,0.00578428344,0.00600605744,8
counto=$((2**8)) ./name-generator.pl,0.01566202794,0.00041327350801194477,0.01566202794,0.01397084,0.00155018,0.01536979944,0.015954256439999998,8
counto=$((2**8)) ./name-generator_d,0.0059393339399999995,0.002028738145592106,0.0059393339399999995,0.00406084,0.00122368,0.00450479944,0.0073738684399999995,8
counto=$((2**8)) java NameGenerator,0.06220322694,0.002149946147382415,0.06220322694,0.09275533999999999,0.02603336,0.060682985440000003,0.06372346844,8
counto=$((2**8)) ./name-generator.lua,0.02084838194,0.004274885463448174,0.02084838194,0.01621984,0.00392186,0.01782558144,0.02387118244,8
counto=$((2**9)) ./name-generator_cpp,0.00373178794,0.0009305334321584043,0.00373178794,0.00388384,0,0.00307380144,0.00438977444,9
counto=$((2**9)) ./name-generator_cpp_O2,0.0022893469400000004,0.00007082027966973881,0.0022893469400000004,0,0.00310336,0.0022392694400000003,0.0023394244400000005,9
counto=$((2**9)) ./name-generator_cpp_O1,0.0035886674400000002,0.0011257323804252945,0.0035886674400000002,0.00130792,0.00224568,0.0027926544400000003,0.00438468044,9
counto=$((2**9)) ./name-generator_go,0.00436996394,0.0008677211367856035,0.00436996394,0,0.00533586,0.00375639244,0.00498353544,9
counto=$((2**9)) ./name-generator_pascal,0.008418741940000002,0.00041303026327921705,0.008418741940000002,0.00381734,0.00424586,0.008126685440000002,0.00871079844,9
counto=$((2**9)) ./name-generator.pl,0.01762952994,0.0001711092344454268,0.01762952994,0.012340340000000002,0.00460836,0.01750853744,0.01775052244,9
counto=$((2**9)) ./name-generator_d,0.00486694994,0.00009571043836750528,0.00486694994,0.0020228399999999997,0.0025828599999999998,0.00479927244,0.0049346274400000004,9
counto=$((2**9)) java NameGenerator,0.06543153344000001,0.0014650729247167199,0.06543153344000001,0.10850233999999999,0.01991836,0.06439557044000001,0.06646749644000001,9
counto=$((2**9)) ./name-generator.lua,0.020437001439999998,0.00048690383003012103,0.020437001439999998,0.013651339999999998,0.0066713599999999994,0.02009270844,0.02078129444,9
counto=$((2**10)) ./name-generator_cpp,0.00375260544,0.00029853906880339826,0.00375260544,0.003914839999999999,0,0.00354150644,0.00396370444,10
counto=$((2**10)) ./name-generator_cpp_O2,0.00433921244,0.0010139656683773866,0.00433921244,0.00109892,0.00314236,0.0036222304399999997,0.00505619444,10
counto=$((2**10)) ./name-generator_cpp_O1,0.00304127044,0.0003353468051912829,0.00304127044,0,0.00381036,0.0028041444399999997,0.0032783964400000002,10
counto=$((2**10)) ./name-generator_go,0.00354803944,0.0001893617817881948,0.00354803944,0,0.0045448599999999995,0.0034141404400000004,0.00368193844,10
counto=$((2**10)) ./name-generator_pascal,0.00742359294,0.000019983544743114185,0.00742359294,0.0047528399999999995,0.00252436,0.0074094624399999994,0.007437723440000001,10
counto=$((2**10)) ./name-generator.pl,0.01589277544,0.00013651120674875047,0.01589277544,0.01066134,0.00470986,0.01579624744,0.01598930344,10
counto=$((2**10)) ./name-generator_d,0.0053100399400000005,0.000961545721367684,0.0053100399400000005,0.004046339999999999,0.0012751799999999999,0.00463012444,0.00598995544,10
counto=$((2**10)) java NameGenerator,0.06443429144,0.006998628964773597,0.06443429144,0.12446534,0.01203686,0.059485513440000005,0.06938306944,10
counto=$((2**10)) ./name-generator.lua,0.018674579939999998,0.0008783843070458946,0.018674579939999998,0.01098734,0.00754236,0.01805346844,0.01929569144,10
counto=$((2**11)) ./name-generator_cpp,0.00316879094,0.0004856246738629532,0.00316879094,0.0024468399999999996,0.0008406799999999999,0.0028254024400000003,0.00351217944,11
counto=$((2**11)) ./name-generator_cpp_O2,0.00456505644,0.00003919068624048267,0.00456505644,0.0019653399999999994,0.00253136,0.00453734444,0.00459276844,11
counto=$((2**11)) ./name-generator_cpp_O1,0.004446618439999999,0.000498528665512827,0.004446618439999999,0.00244342,0.00240368,0.00409410544,0.00479913144,11
counto=$((2**11)) ./name-generator_go,0.00393910844,0.00008224783236049445,0.00393910844,0,0.004896360000000001,0.00388095044,0.00399726644,11
counto=$((2**11)) ./name-generator_pascal,0.00792358444,0.0012468201740628048,0.00792358444,0.00277234,0.00478786,0.00704194944,0.008805219440000001,11
counto=$((2**11)) ./name-generator.pl,0.01729633394,0.0014742136940771179,0.01729633394,0.014497839999999998,0.00272168,0.01625390744,0.01833876044,11
counto=$((2**11)) ./name-generator_d,0.00689937394,0.00145304715968908,0.00689937394,0.0052803400000000006,0.00155468,0.00587191444,0.007926833440000001,11
counto=$((2**11)) java NameGenerator,0.06908038344,0.006587228582625027,0.06908038344,0.12266033999999998,0.02551286,0.06442250944,0.07373825744000001,11
counto=$((2**11)) ./name-generator.lua,0.01772959894,0.0012001744610282711,0.01772959894,0.013270839999999999,0.00443136,0.01688094744,0.01857825044,11
counto=$((2**12)) ./name-generator_cpp,0.00363074544,0.0003026303886393435,0.00363074544,0.0027433399999999995,0.0009826799999999999,0.0034167534399999998,0.00384473744,12
counto=$((2**12)) ./name-generator_cpp_O2,0.0039468579399999995,0.0015069117258527458,0.0039468579399999995,0.00418134,0,0.0028813104399999998,0.00501240544,12
counto=$((2**12)) ./name-generator_cpp_O1,0.0047034309399999995,0.000531380139459973,0.0047034309399999995,0.00206392,0.00295268,0.00432768844,0.00507917344,12
counto=$((2**12)) ./name-generator_go,0.0051390379400000005,0.0002567384514335547,0.0051390379400000005,0.0023538399999999994,0.00290536,0.0049574964400000004,0.00532057944,12
counto=$((2**12)) ./name-generator_pascal,0.011483786440000001,0.00048635935780860697,0.011483786440000001,0.009297840000000002,0.00136918,0.01113987844,0.011827694440000001,12
counto=$((2**12)) ./name-generator.pl,0.01903821494,0.0036954411547506063,0.01903821494,0.01064134,0.00820836,0.01642514344,0.02165128644,12
counto=$((2**12)) ./name-generator_d,0.00735632594,0.0011319895683320148,0.00735632594,0.0071033400000000005,0,0.00655588844,0.008156763440000001,12
counto=$((2**12)) java NameGenerator,0.07954681094,0.018418008208245653,0.07954681094,0.16438234,0.01966836,0.06652331244000001,0.09257030944,12
counto=$((2**12)) ./name-generator.lua,0.020359872940000003,0.0012327706694274098,0.020359872940000003,0.01431184,0.00516736,0.01948817244,0.021231573440000002,12
counto=$((2**13)) ./name-generator_cpp,0.005500512440000001,0.0005148585895175487,0.005500512440000001,0.00529284,0,0.0051364524400000005,0.00586457244,13
counto=$((2**13)) ./name-generator_cpp_O2,0.00599801194,0.0010110898650983002,0.00599801194,0.00302234,0.00245936,0.00528306344,0.0067129604399999996,13
counto=$((2**13)) ./name-generator_cpp_O1,0.00661904094,0.0001265332229594266,0.00661904094,0.0029738399999999997,0.0035388599999999996,0.00652956844,0.00670851344,13
counto=$((2**13)) ./name-generator_go,0.00861091594,0.0017156270202420168,0.00861091594,0.0030613399999999996,0.00516136,0.00739778444,0.00982404744,13
counto=$((2**13)) ./name-generator_pascal,0.01315985044,0.0018960926916161034,0.01315985044,0.00772984,0.00505536,0.01181911044,0.01450059044,13
counto=$((2**13)) ./name-generator.pl,0.02112235244,0.00001752634867849142,0.02112235244,0.01609684,0.00421286,0.02110995944,0.02113474544,13
counto=$((2**13)) ./name-generator_d,0.00933559144,0.0007605315269323155,0.00933559144,0.0060693399999999995,0.00318186,0.008797814440000001,0.00987336844,13
counto=$((2**13)) java NameGenerator,0.06864701344000002,0.004014396517647204,0.06864701344000002,0.15888184,0.02085086,0.06580840644000001,0.07148562044000001,13
counto=$((2**13)) ./name-generator.lua,0.02390860594,0.0010072347189272715,0.02390860594,0.019756839999999998,0.00408086,0.02319638344,0.02462082844,13
counto=$((2**14)) ./name-generator_cpp,0.006570419439999999,0.0008642923760036297,0.006570419439999999,0.0020818399999999997,0.00414586,0.00595927244,0.0071815664399999994,14
counto=$((2**14)) ./name-generator_cpp_O2,0.00807077494,0.0012376101082378502,0.00807077494,0.00522534,0.0027593599999999998,0.007195652439999999,0.008945897440000001,14
counto=$((2**14)) ./name-generator_cpp_O1,0.0068656004399999995,0.0012110320856533899,0.0068656004399999995,0.00683184,0,0.00600927144,0.00772192944,14
counto=$((2**14)) ./name-generator_go,0.01389044294,0.004513328941132086,0.01389044294,0.011157839999999999,0.00346286,0.010699037440000001,0.01708184844,14
counto=$((2**14)) ./name-generator_pascal,0.018419046940000003,0.007120976115588402,0.018419046940000003,0.01536484,0.00271618,0.013383756440000002,0.02345433744,14
counto=$((2**14)) ./name-generator.pl,0.02906791844,0.001373569064590492,0.02906791844,0.024960839999999998,0.00308136,0.028096658440000002,0.03003917844,14
counto=$((2**14)) ./name-generator_d,0.015043077940000002,0.00046381467230403384,0.015043077940000002,0.011711840000000001,0.00300468,0.014715111440000003,0.01537104444,14
